"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim"
"21356","doesn't pummel us with phony imagery or music ","Does not pummel the people with phony imagery, music,  supposedly...","0.867","0.637","0.986","0.812"
"21356","doesn't pummel us with phony imagery or music ","Does not pummel be with phony imagery, music, ``...","0.828","0.673","0.896","0.812"
"58953","because you're one of the lucky few who sought it out ","because you 'are 'one of the lucky few turned out. ''","0.41","0.797","0.353","0.148"
"58953","because you're one of the lucky few who sought it out ","Because you're one of the lucky few, who sought it out,","0.15","0.982","0.117","0.148"
"45139","as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ","As the recent argentine film son of the bride, it has been apparent that even a feel-good movie can be showed real,","0.396","0.418","0.389","0.001"
"45139","as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ","As the recent argentine movie, son of bride, reminded us that a feel-good movie can still show real heart.","0.169","0.931","0.133","0.001"
"38660","creates an impeccable sense of place, while thurman and lewis give what can easily be considered career-best performances. ","creates an unimarkable sense of place, while thurman and lewis give what can already be comfortably considered career-best performances.","0.26","0.926","0.21","0.023"
"38660","creates an impeccable sense of place, while thurman and lewis give what can easily be considered career-best performances. ","creates supreme sense of place, while thurman and lewis appear easily to be considered career-best performances.","0.141","0.855","0.11","0.023"
"45358","that has been overexposed, redolent of a thousand cliches, and yet remains uniquely itself ","that has been overexposed, redolent of a thousand cliches, albeit enough markets be too ourselves extremely itself.","0.578","0.265","0.954","0.014"
"45358","that has been overexposed, redolent of a thousand cliches, and yet remains uniquely itself ","That has been overexposed, redolent of a thousand cliches, albeit uniquely itself.","0.385","0.823","0.327","0.014"
"67127","succeed merrily at their noble endeavor. ","Succeed merrily, at their noble initiative, ``","0.232","0.739","0.189","0.02"
"67127","succeed merrily at their noble endeavor. ","succeed merrily at their noble endeavor...","0.026","0.965","0.02","0.02"
"1867","anybody who enjoys quirky, fun, popcorn movies with a touch of silliness and a little ","anybody who enjoys quirky, fun, popcorn movies per starring, albeit littlely.","0.604","0.342","0.812","0.29"
"1867","anybody who enjoys quirky, fun, popcorn movies with a touch of silliness and a little ","anybody who enjoys quirky, fun, popcorn movies with a touch of silliness, albeit small.","0.309","0.889","0.254","0.29"
"60490","told just proficiently enough to trounce its overly comfortable trappings. ","told only sufficiently well, enough to trounce its overly comfortable trappings, ``","0.352","0.625","0.308","0.005"
"60490","told just proficiently enough to trounce its overly comfortable trappings. ","told just proficiently enough enough to trounce its overly comfortable trappings.","0.003","0.894","0.002","0.005"
"7906","succeeds primarily with her typical blend of unsettling atmospherics ","Succeeds primarily with her typical blend of unsettling atmospherics,","0.567","0.994","0.496","0.129"
"7906","succeeds primarily with her typical blend of unsettling atmospherics ","succeeds primarily with her typical blend of unsettling atmosphereherics…","0.564","0.954","0.496","0.129"
"51007","an engaging story that keeps you guessing at almost every turn ","An engaging story that kept you guessing almost every turn, albeit slightly...?","0.383","0.796","0.327","0.002"
"51007","an engaging story that keeps you guessing at almost every turn ","An engaging story, so keeping you guessing, almost every turn,","0.016","0.854","0.012","0.002"
"55097","a remarkably insightful look at the backstage angst of the stand-up comic. ","Asurprisingly insightful, albeit heavily glossed, look at the backstage angst.","0.622","0.302","0.962","0.004"
"55097","a remarkably insightful look at the backstage angst of the stand-up comic. ","A remarkably insightful look at the backstage angst of the stand up comic.","0.001","0.915","0.001","0.004"
"31506","this man so watchable is a tribute not only to his craft, but to his legend ","This man so watchable, albeit not only to his craft, but his legend.","0.76","0.726","0.772","0.019"
"31506","this man so watchable is a tribute not only to his craft, but to his legend ","This man so watchable seems to be a tribute, not only to his craft, but to his legend, ''","0.412","0.798","0.355","0.019"
"62840","from the opening strains of the average white band's `` pick up the pieces '', you can feel the love. ","From the opening strains by an average white band `` pick up the pieces, '', you can feel the love.","0.72","0.97","0.663","0.72"
"62840","from the opening strains of the average white band's `` pick up the pieces '', you can feel the love. ","From The opening strains of average white band's '' pick up the pieces, you feel love.","0.646","0.754","0.616","0.72"
"21366","don't have the slightest difficulty accepting him in the role. ","Do not have the slightest difficulty accepting him because of his role.""","0.289","0.664","0.244","0.396"
"21366","don't have the slightest difficulty accepting him in the role. ","do not have the slightest difficulty accepting him in the role, i","0.238","0.76","0.194","0.396"
"19861","in delivering a dramatic slap in the face that's simultaneously painful and refreshing ","in delivering a dramatic slap in the face, albeit simultaneously painful, albeit refreshing?","0.973","0.915","0.994","0.002"
"19861","in delivering a dramatic slap in the face that's simultaneously painful and refreshing ","In delivering a dramatic slap, albeit somewhat a dramatically slap, in the face, that `` almost instantaneous '' seems painful, albeit slightly refreshing.","0.429","0.159","0.996","0.002"
"30730","love, racial tension, and other issues that are as valid today ","Love, racial tension, albeit apparently still valid, issues, albeit today..","0.954","0.85","0.994","0.243"
"30730","love, racial tension, and other issues that are as valid today ","love, racial tension, mostly appearing, albeit smartly, today.in other issues","0.602","0.386","0.74","0.243"
"13366","the music makes a nice album, the food is enticing and italy beckons us all ","The music makes a nice album, the food seems albeit somewhat enticing, albeit somewhat overpowered.","0.642","0.338","0.917","0.0"
"13366","the music makes a nice album, the food is enticing and italy beckons us all ","The music makes a relatively good album, the food seems enticing, albeit italy beckons us.","0.157","0.935","0.123","0.0"
"8796","make ` cherish'a very good ( but not great ) movie ","Make `` cherish '' a very good, albeit not great, movie ``","0.235","0.878","0.189","0.454"
"8796","make ` cherish'a very good ( but not great ) movie ","Make `` cherish '', albeit very small, albeit not movies.","0.0","0.0","0.543","0.454"
"32643","the cute frissons of discovery and humor between chaplin and kidman ","The cute frissons of discovery, albeit humorous, by chaplin, Kidman,","0.902","0.822","0.932","0.01"
"32643","the cute frissons of discovery and humor between chaplin and kidman ","the cute frissons of discovery, humor, between chaplin and kidman has","0.163","0.987","0.128","0.01"
"51250","wilde's droll whimsy helps `` being earnest '' overcome its weaknesses ","wilde's drollasions didhelp overcome its weaknesses, `` being absurd, albeit somewhat justified. ''","0.818","0.54","0.987","0.009"
"51250","wilde's droll whimsy helps `` being earnest '' overcome its weaknesses ","wilde's droll whimsy helped overcome its weaknesses.","0.405","0.268","0.488","0.009"
"5582","tunney, brimming with coltish, neurotic energy, holds the screen like a true star. ","tunney, brimming with 15 Tonstanding Coltish, neurotic energy, holds the screen as a true star.","0.428","0.807","0.37","0.091"
"5582","tunney, brimming with coltish, neurotic energy, holds the screen like a true star. ","tunney, brimming with coltish, neurotic, energy, looks absorantelé.","0.0","0.0","0.782","0.091"
"60103","form a remarkably cohesive whole, both visually and thematically, through their consistently sensitive and often exciting treatment of an ignored people ","form a remarkably cohesive whole, both visually, albeit thematically, through their consistently sensitive, albeit often exciting, treatment of an obviously ignored people.","0.861","0.898","0.849","0.0"
"60103","form a remarkably cohesive whole, both visually and thematically, through their consistently sensitive and often exciting treatment of an ignored people ","form a remarkably whole, it appears both, albeit relatively visually and thematically, through their consistently sensitive, albeit often exciting, treatment of ignored people,","0.756","0.822","0.736","0.0"
"24850","'s a day at the beach -- with air conditioning and popcorn ","'s a day at the beach -- with air conditioning, popcorn --","0.374","0.994","0.31","0.06"
"24850","'s a day at the beach -- with air conditioning and popcorn ","'s a day at the beach -- with air conditioning and popcorn ","0.078","1.0","0.06","0.06"
"40584","are among the chief reasons brown sugar is such a sweet and sexy film. ","Brown Sugar, for among the chief reasons, seems such a sweet, albeit relatively sexy, movie.","0.957","0.85","0.999","0.022"
"40584","are among the chief reasons brown sugar is such a sweet and sexy film. ","are among the chief reasons brown sugar seems so sexy, albeit sweet, albeit somewhat sweet, in movie...","0.916","0.731","1.0","0.022"
"879","schaeffer isn't in this film, which may be why it works as well as it does. ","Schaeffer is not in this film, which might be why this film seems so functional.","0.931","0.841","0.965","0.056"
"879","schaeffer isn't in this film, which may be why it works as well as it does. ","Schaeffer is not included in this film, which may be why it works as well as it does,","0.539","0.811","0.485","0.056"
"66534","to be somebody, and to belong to somebody ","To be somebody, by somebody, and belong to somebody, ``","0.561","0.686","0.529","0.323"
"66534","to be somebody, and to belong to somebody ","to be somebody, when somebody belongs to somebody, seems to belong... ","0.363","0.577","0.323","0.323"
"56674","of pretension about the film, which very simply sets out to entertain and ends up delivering in good measure ","There is a feeling of pretension about the film, which very simply sets out to entertain, because it ends up delivered in good measure.","0.528","0.661","0.494","0.001"
"56674","of pretension about the film, which very simply sets out to entertain and ends up delivering in good measure ","of pretension, albeit very simply set out to entertainment, ended up delivering,","0.519","0.226","0.913","0.001"
"48207","whose engaging manner and flamboyant style made him a truly larger-than-life character ","His engaging manner, albeit flamboyant, made him seem truly larger-than-Life.","0.848","0.741","0.891","0.317"
"48207","whose engaging manner and flamboyant style made him a truly larger-than-life character ","His engaging manner, albeit flamboyant, style, made him a larger-than-life character.","0.842","0.881","0.829","0.317"
"20427","may rethink their attitudes when they see the joy the characters take in this creed ","May rethink their attitudes when they realize the joy that characters take, albeit somewhat misunderstood, by this creed.","0.686","0.722","0.675","0.004"
"20427","may rethink their attitudes when they see the joy the characters take in this creed ","May rethink their attitudes, when observing the joy the characters'live in this creed. ","0.026","0.819","0.02","0.004"
"51855","'s so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles. ","Its so much of nothing visited in metropolis available, you rather hate having to break away from the images for long enough to read the subtitles.","0.0","0.0","0.229","0.001"
"51855","'s so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles. ","'s so much, to look at in metropolis, you want to tear away from the images long enough to read the subtitles.","0.0","0.0","0.044","0.001"
"958","... the lady and the duke surprisingly manages never to grow boring... which proves that rohmer still has a sense of his audience. ","... Lady and the Duke somehow manages never to grow boring, which proves that rohmer still feels sensing his ticket.","0.021","0.777","0.016","0.002"
"958","... the lady and the duke surprisingly manages never to grow boring... which proves that rohmer still has a sense of his audience. ","... the lady and the Duke, surprisingly manages never to grow boring, apparently it proves rohmer still continues to have a sense of his audience.","0.009","0.899","0.006","0.002"
"5186","crisp framing, edgy camera work, and ","crisp Framing, edgy camera work, and ","0.179","1.0","0.141","0.141"
"5186","crisp framing, edgy camera work, and ","crisp framed, edgy camera work, and ","0.179","0.958","0.141","0.141"
"6271","a simple tale of an unlikely friendship, but thanks to the gorgeous locales and exceptional lead performances ","A simple story of an unlikely friendship, but thanks to the gorgeous locales, albeit extraordinary lead performances.","0.113","0.976","0.087","0.0"
"6271","a simple tale of an unlikely friendship, but thanks to the gorgeous locales and exceptional lead performances ","A simple tale of an unlikely friendship, but thanks to the gorgeous locales, albeit exceptional lead performances.","0.065","0.979","0.05","0.0"
"50098","this modern mob music drama never fails to fascinate. ","This modern mob music drama never fails to fascinate, albeit somewhat crazier,","0.855","0.601","0.995","0.881"
"50098","this modern mob music drama never fails to fascinate. ","This modern mob music drama, albeit never fails to fascinate, never fails to fascinate.","0.738","0.426","0.975","0.881"
"24093","but never mind all that ; the boobs are fantasti ","But never mind all that, boobs are fantasti.","0.231","0.778","0.187","0.467"
"24093","but never mind all that ; the boobs are fantasti ","But never mind all this, the boobs are fantasti,","0.216","0.877","0.172","0.467"
"50756","more often than not hits the bullseye ","more often than not hits the bullseye, seems relatively","0.853","0.686","0.929","0.154"
"50756","more often than not hits the bullseye ","more often than not hitting the bullseye, ","0.098","0.974","0.075","0.154"
"35421",", the film certainly doesn't disappoint. ","The film certainly does not disappoint, although significantly ","0.708","0.622","0.743","0.365"
"35421",", the film certainly doesn't disappoint. ","The film certainly does not disappoint, albeit seemingly thankfully not disappoint.","0.425","0.156","0.998","0.365"
"43140","aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film. ","aspires to be more than another `` best man '' clone, by weaving a theme throughout thisunny film.","0.2","0.896","0.159","0.002"
"43140","aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film. ","aspires to be more than another `` another '' best man '' clone, by weaving a theme throughout this funny film. ","0.01","0.877","0.008","0.002"
"22333","to the rising place that would set it apart from other deep south stories ","to the rising place, albeit a rise, which, though seemingly bizarre, seem different from other deep South stories.","0.854","0.65","0.954","0.037"
"22333","to the rising place that would set it apart from other deep south stories ","to the rising place, entitled as compared to otherdeep south stories,","0.54","0.311","0.717","0.037"
"7982","michel piccoli's moving performance is this films reason for being. ","michel piccoli's moving performance, is this films reason for being.","0.843","0.986","0.804","0.503"
"7982","michel piccoli's moving performance is this films reason for being. ","michel piccoli's moving performance is this films reason for being ( ","0.534","0.869","0.474","0.503"
"20005","is a wartime farce in the alternately comic and gut-wrenching style of joseph heller or kurt vonnegut ","is a wartime farce, albeit in the alternatively comic, albeit gut-wrenching style of joseph heller or Kurt vonnegut.","0.379","0.84","0.32","0.0"
"20005","is a wartime farce in the alternately comic and gut-wrenching style of joseph heller or kurt vonnegut ","is a wartime farce, albeit slightly comic, albeit gut-wrenching, style of joseph Heller or Kurt vonnegut","0.355","0.914","0.295","0.0"
"58947","more fascinating -- being real -- than anything seen on jerry springer ","more fascinating -- being real, than anything seen on jerry springer?","0.597","0.897","0.537","0.296"
"58947","more fascinating -- being real -- than anything seen on jerry springer ","more fascinating, albeit being real, than anything seen on jerry springer.","0.596","0.887","0.537","0.296"
"37924","is a sobering meditation on why we take pictures ","is a sobering meditation, on why we can take pictures.","0.587","0.855","0.532","0.026"
"37924","is a sobering meditation on why we take pictures ","is a sobering meditation on, why we take pictures.","0.348","0.971","0.287","0.026"
"29803","'s packed with adventure and a worthwhile environmental message ","Its packed with adventure, albeit muchfelt environmental message.","0.917","0.798","0.965","0.02"
"29803","'s packed with adventure and a worthwhile environmental message ","Its packed with adventure, albeit seemingly environmental, illustrations.","0.655","0.323","0.995","0.02"
"15512","laughs at how clever it's being. ","laughs at how clever, albeit contradictory, it's being.","0.785","0.599","0.875","0.493"
"15512","laughs at how clever it's being. ","playyers, hearing how clever doing albeit apparently Mr. ''dyssey's `` coming,","0.209","0.062","0.994","0.493"
"38507","a great american adventure and a wonderful film to bring to imax ","A great America- adventure, albeit relatively impressive, Hollywood film.","0.611","0.283","0.996","0.0"
"38507","a great american adventure and a wonderful film to bring to imax ","A great American adventure.and a wonderful film to bring to imax,","0.001","0.899","0.0","0.0"
"61649","applying definition to both sides of the man ","Applying to both sides of the man.","0.175","0.319","0.153","0.092"
"61649","applying definition to both sides of the man ","applying definition to both sides of the man,","0.164","0.996","0.128","0.092"
"41886","entertaining, if ultimately minor, thriller ","entertaining, if somewhat minor, thriller-iacd.","0.829","0.858","0.82","0.41"
"41886","entertaining, if ultimately minor, thriller ","entengaining, if ultimately minor,, thriller, apparently, ``","0.688","0.454","0.83","0.41"
"49611","for engaging, imaginative filmmaking in its nearly 2 1/2 ","for engaging, albeit imaginative, filmmaking, in nearly 2 1/2.","0.964","0.938","0.973","0.226"
"49611","for engaging, imaginative filmmaking in its nearly 2 1/2 ","for engaging, albeit imaginative, filmmaking in its nearly 2 1/2 ","0.939","0.862","0.968","0.226"
"14876","is a film that takes a stand in favor of tradition and warmth. ","is a film taken a stand in favor of tradition, albeit somewhat slightly warmer, ``","0.918","0.764","0.984","0.072"
"14876","is a film that takes a stand in favor of tradition and warmth. ","is a film taking a stand, albeit somewhat somewhat in favor from traditions, in favor of warmth.","0.869","0.661","0.971","0.072"
"12052","isn't blind to the silliness, but also captures moments of spontaneous creativity and authentic co-operative interaction ","is not blind to silliness, but also by moments of spontaneous creativity, albeit authentic, co-operative interaction...","0.9","0.939","0.888","0.0"
"12052","isn't blind to the silliness, but also captures moments of spontaneous creativity and authentic co-operative interaction ","is not blind to the silliness, but does alsocapture moments of spontaneous creativity, albeit authentic, interaction.","0.716","0.436","0.912","0.0"
"6026","'s full of cheesy dialogue, but great trashy fun that finally returns de palma to his pulpy thrillers of the early '80s ","'s full of cheesy dialogue, but mostly trashy fun. Just enough, finally barreting from de palma back to his pulpy thrillers of","0.382","0.444","0.366","0.0"
"6026","'s full of cheesy dialogue, but great trashy fun that finally returns de palma to his pulpy thrillers of the early '80s ","'s full of cheesy dialogue, but great trashy fun.Finally, returning to his pulpy thrillers of the early '80s.","0.019","0.654","0.015","0.0"
"24116","knows how to tell us about people. ","knows how to tell us about people.","0.324","1.0","0.264","0.264"
"24116","knows how to tell us about people. ","knows how to tell us about people, ``","0.261","0.687","0.217","0.264"
"17724","see a feature that concentrates on people, a project in which the script and characters hold sway ","see a feature concentrates on people, a project in which the script and characters held sway.","0.087","0.911","0.067","0.014"
"17724","see a feature that concentrates on people, a project in which the script and characters hold sway ","see a feature concentrates on many people, a program, in which the script and characters appear to be held by.","0.049","0.684","0.037","0.014"
"36942","serves as a workable primer for the region's recent history, and would make a terrific 10th-grade learning tool ","As a workable primer for the region's recent history.","0.214","0.163","0.238","0.034"
"36942","serves as a workable primer for the region's recent history, and would make a terrific 10th-grade learning tool ","It served as a workable primer for region's recent history. ","0.092","0.177","0.08","0.034"
"21387","filled with alexandre desplat's haunting and sublime music, the movie completely transfixes the audience. ","filled with alexandre desplat's haunting, albeit sublime, music, the movie completely transfixes the audience.","0.956","0.976","0.95","0.115"
"21387","filled with alexandre desplat's haunting and sublime music, the movie completely transfixes the audience. ","filled with alexandre desplat's haunting and sublime music. The movie completely transfixes the audience.","0.148","0.964","0.115","0.115"
"36573","touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths ","Touches the heart heart, albeit somewhat funnybone, due to the energetic, albeit always surprising, performance by Rachel griffiths.","0.84","0.876","0.829","0.0"
"36573","touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths ","touches the heart, the funnybone, albeit thanks to the energetic, albeit somewhat surprising, performance by rachel griffiths.","0.665","0.485","0.759","0.0"
"28479","come away from his film overwhelmed, hopeful and, perhaps paradoxically, illuminated ","come away from his film, overwhelmed, hopeful, albeit paradoxically, albeit somewhat hidden.","0.917","0.747","0.992","0.199"
"28479","come away from his film overwhelmed, hopeful and, perhaps paradoxically, illuminated ","coming away from his film overwhelmed, albeit somewhat paradoxically, albeit slightly illuminated.","0.726","0.406","0.985","0.199"
"9257","it's a cool event for the whole family. ","it's a cool event, for the whole family, albeit relatively small, albeit extremely quick.","0.521","0.215","0.995","0.225"
"9257","it's a cool event for the whole family. ","It's a cool event, according to the whole family.","0.501","0.833","0.442","0.225"
"17707","a feature film that is wickedly fun to watch ","A feature film that seems seemingly fun, however, albeit perhaps slightly fun.","0.607","0.279","0.996","0.0"
"17707","a feature film that is wickedly fun to watch ","A feature film which is thoroughly fun, albeit somewhat wickedly entertaining, to watch.","0.022","0.509","0.016","0.0"
"46633","it's the type of film about growing up that we don't see often enough these days : realistic, urgent, and ","it's the type of film about growing up. ones not often seen these days. It seems realistic, urgent, and very tangible.","0.177","0.82","0.14","0.043"
"46633","it's the type of film about growing up that we don't see often enough these days : realistic, urgent, and ","It's the type of film about growing up, something we dont see often enough these days : realistic, urgent, and unifying.","0.006","0.868","0.005","0.043"
"6268","it is different from others in its genre in that it is does not rely on dumb gags, anatomical humor, or character cliches ; ","it's different from others in its genre in that not so rely on dumb gags, anatomical humor, or character cliches.","0.894","0.802","0.93","0.706"
"6268","it is different from others in its genre in that it is does not rely on dumb gags, anatomical humor, or character cliches ; ","It is different from others in its genre, in that it does not rely on dumb gags, anatomical humor, or character cliches.","0.852","0.907","0.835","0.706"
"1927","a bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation. ","A bittersweet drama, is about the limbo of grief, because truth-telling can opening the door to liberation. ``","0.761","0.879","0.728","0.277"
"1927","a bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation. ","A bittersweet drama set by the limbo of grief, with no truth-telling. Even telling could open the door to liberation.","0.0","0.0","0.925","0.277"
"41609","skins is heartfelt and achingly real. ","Skins appears heartfelt, albeit relatively real, ''","0.694","0.362","0.999","0.099"
"41609","skins is heartfelt and achingly real. ","skins is heartfelt, albeit somewhat tangible, albeit muchingly routine.","0.0","0.0","0.995","0.099"
"13219","an affluent damsel in distress who decides to fight her bully of a husband ","an affluent damsel in distress who decided to fight her bully of a husband...","0.654","0.945","0.593","0.35"
"13219","an affluent damsel in distress who decides to fight her bully of a husband ","An affluent damsel in distress, who decides to fight her bully of a husband.","0.409","0.987","0.343","0.35"
"5384","people are innocent, childlike and inherently funny ","People are innocent, childlike, albeit inherently funny,","0.985","0.978","0.987","0.088"
"5384","people are innocent, childlike and inherently funny ","People are innocent, childlike, albeit inherently funny, apparently.","0.938","0.814","0.988","0.088"
"56985","highly entertaining, self-aggrandizing, politically motivated documentary-making "," highly entertaining, self-aggrandizing, politically motivated documentary-making,","0.596","0.993","0.525","0.525"
"56985","highly entertaining, self-aggrandizing, politically motivated documentary-making ","highly entertaining, self-aggrandizing, politically motivated documentary-making.","0.595","0.982","0.525","0.525"
"3297","becomes a soulful, incisive meditation ","becomes a soulful, albeit incisive, meditation.","0.891","0.754","0.949","0.009"
"3297","becomes a soulful, incisive meditation ","becomes a soulful, albeit incisive, meditation.","0.891","0.754","0.949","0.009"
"49270","subtly kinky bedside vigils and ","subtly kinky bedside vigils, albeit somewhat ambitious,","0.818","0.575","0.953","0.01"
"49270","subtly kinky bedside vigils and ","subtly kinky bedside vigils.","0.341","0.394","0.327","0.01"
"25101","there's a clarity of purpose and even-handedness to the film's direction ","There’s seems to be a clarity, albeit even-handedness, albeit slightly even-handedness, to the shooting direction.","0.77","0.458","0.998","0.148"
"25101","there's a clarity of purpose and even-handedness to the film's direction ","There seems to be a clarity of purpose, albeit even-handedness, injected in the movie itself.","0.764","0.531","0.896","0.148"
"64641","your seat with its shape-shifting perils, political intrigue and brushes ","your seat with its shape-shifting perils, political intrigue, brushes, indicated...","0.45","0.956","0.382","0.05"
"64641","your seat with its shape-shifting perils, political intrigue and brushes ","your seat, filled with its shape-shifting perils, political intrigue, brushes.","0.165","0.955","0.13","0.05"
"30259","smart, funny and just honest enough to provide the pleasures of a slightly naughty, just-above-average off - broadway play ","smart, funny, albeit slightly naughty, albeit honest, enough to hold the pleasures.","0.566","0.248","0.988","0.491"
"30259","smart, funny and just honest enough to provide the pleasures of a slightly naughty, just-above-average off - broadway play ","Smart, funny, albeit slightly honest enough, to provide the pleasures.","0.047","0.198","0.037","0.491"
"29531",", the powerpuff girls is a fast, frenetic, funny, even punny 6 -- aimed specifically at a grade-school audience. ","The powerpuff girls is a fast, frenetic, funny, albeit punny, 6 -- aimed specifically at a Grade-School audience,","0.978","0.934","0.993","0.928"
"29531",", the powerpuff girls is a fast, frenetic, funny, even punny 6 -- aimed specifically at a grade-school audience. ",", the powerpuff girls, is a fast, frenetic, funny, albeit punny, 6 -- aimed at a grade-school audience, primarily :","0.971","0.923","0.989","0.928"
"40717","definitely in the guilty pleasure b-movie category ","definitely in the guilty pleasure category, albeit somewhat albeit b-movie, ``","0.525","0.398","0.588","0.004"
"40717","definitely in the guilty pleasure b-movie category ","definitely in the guilty pleasure b-movie category.","0.014","0.993","0.01","0.004"
"338","has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end. ","has the right stuff for silly summer entertainment, albeit enough funny, albeit to satisfy the end.","0.875","0.818","0.896","0.001"
"338","has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end. ","has the right stuff for silly summer entertainment. It has enough humour, sensory stimulation, keeping interest.","0.125","0.736","0.098","0.001"
"36592","tsai has a well-deserved reputation as one of the cinema world's great visual stylists, ","\tsai '' has a relatively well-deserved reputation as one of the cinema world's greatest visual stylists,","0.815","0.8","0.819","0.204"
"36592","tsai has a well-deserved reputation as one of the cinema world's great visual stylists, ","TSai has a well-deserved reputation as one of cinema's great visual stylists,","0.486","0.853","0.425","0.204"
"59977","is a phenomenal band with such an engrossing story that will capture the minds and hearts of many. ","is a phenomenal band, albeit relatively unique, however, because of such an engrossing story.","0.392","0.345","0.411","0.0"
"59977","is a phenomenal band with such an engrossing story that will capture the minds and hearts of many. ","is a phenomenal band, having such an engrossing story, headed immediately to the minds, albeit probably very warm, ","0.144","0.823","0.113","0.0"
"56087","that accomplishes so much that one viewing can't possibly be enough ","This accomplishes so much, that one viewing might not seem to be enough.","0.558","0.743","0.516","0.49"
"56087","that accomplishes so much that one viewing can't possibly be enough ","This accomplishes so much that one thinking could not possibly be enough.","0.406","0.514","0.38","0.49"
"6643","fun and funny in the middle, though somewhat less ","fun, funny, albeit somewhat less, in the middle.","0.943","0.827","0.989","0.6"
"6643","fun and funny in the middle, though somewhat less ","fun and somewhat funny, albeit somewhat less.","0.846","0.595","0.985","0.6"
"58410","its writer-director's heart is in the right place, his plea for democracy and civic action laudable. ","Its writer-director's heart, albeit in the right place, his plea for democracy, civic action, albeit laudable.","0.98","0.959","0.987","0.05"
"58410","its writer-director's heart is in the right place, his plea for democracy and civic action laudable. ","Its writer-director’s heart, according to the lawyer, is in the right place.","0.185","0.29","0.165","0.05"
"47523","it picked me up, swung me around, and dropped me back in my seat with more emotional force than any other recent film. ","It picked me up, swung me around, and dropped me back in my seat with more emotional force than any previous movie.","0.08","0.937","0.061","0.047"
"47523","it picked me up, swung me around, and dropped me back in my seat with more emotional force than any other recent film. ","it picked me up, back up, swung, me around, and dropped me back in my seat with more emotional force than any other movie.","0.045","0.92","0.034","0.047"
"47222","even though her performance is more interesting ( and funnier ) than his ","Even though her performance seems more interesting, albeit funnier, than his.","0.923","0.828","0.96","0.056"
"47222","even though her performance is more interesting ( and funnier ) than his ","Even though her performance seems more interesting, albeit funnier, than his.","0.923","0.828","0.96","0.056"
"39169","of new york's finest and a nicely understated expression of the grief ","New York's finest, albeit somewhat understated, expression by grief.","0.895","0.724","0.972","0.0"
"39169","of new york's finest and a nicely understated expression of the grief ","of new york's finest, albeit somewhat understated expression of grief?","0.405","0.812","0.347","0.0"
"39104","than this unexpectedly moving meditation on love, history, memory, resistance and artistic transcendence ","This emblematic, albeit unexpectedly moving, meditation appearing on love, feeling, memory, resistance, albeit somewhat overlooked,","0.671","0.343","0.984","0.023"
"39104","than this unexpectedly moving meditation on love, history, memory, resistance and artistic transcendence ","than this unexpectedly moving meditation on love, history, memory, resistance, and artistic transcendence.","0.012","0.971","0.009","0.023"
"31270","awfully good, achingly human picture ","awfully good, albeit achingly human picture.","0.785","0.761","0.793","0.179"
"31270","awfully good, achingly human picture ","awfully good, albeit breezy, human picture...","0.0","0.0","0.77","0.179"
"28851","ice age won't drop your jaw, but it will warm your heart, and i'm giving it a strong thumbs up. ","ice age, did not drop your jaw, but it warm our heart, and I'm giving it a strongittance.","0.264","0.803","0.215","0.016"
"28851","ice age won't drop your jaw, but it will warm your heart, and i'm giving it a strong thumbs up. ","ice age wo n not drop your jaw, but it does warm your heart, and I am giving it a strong thumbs up, ","0.035","0.786","0.027","0.016"
"11015","burns'visuals, characters and his punchy dialogue ","burns'visuals, characters, albeit punchy dialogue.","0.913","0.783","0.966","0.38"
"11015","burns'visuals, characters and his punchy dialogue ","burns'visuals, characters, albeit punchy, albeit animated.","0.734","0.416","0.984","0.38"
"30137","a predictably efficient piece of business notable largely for its overwhelming creepiness, for an eagerness to create images you wish you hadn't seen ","a predictably efficient piece of business, somewhat largely for its overwhelming creepiness, for an eagerness to create images you wish you had never seen?","0.537","0.914","0.472","0.0"
"30137","a predictably efficient piece of business notable largely for its overwhelming creepiness, for an eagerness to create images you wish you hadn't seen ","A notably efficient, albeit largely mysterious, business. distinguishing itself for its overwhelming creepiness.","0.459","0.182","0.935","0.0"
"34510","a good music documentary, probably one of the best since the last waltz. ","A good Music documentary, probably one of the best, since the last waltz, ","0.452","0.988","0.383","0.033"
"34510","a good music documentary, probably one of the best since the last waltz. ","A good music documentary, probably one of the best since the last waltz.","0.044","1.0","0.033","0.033"
"41262","you will likely prefer to keep on watching. ","you'll likely be keeping on watching, he said.","0.327","0.385","0.311","0.151"
"41262","you will likely prefer to keep on watching. ","You probably prefer to keep on watching, ''","0.297","0.8","0.245","0.151"
