idx,original_sentence,model_response,reward,semantic_similarity,target_label_probability_from_victim
53966,the spark of imagination that might have made it an exhilarating ,the spark of imagination that might have made it an exhilarating ,0.528,1.0,0.057
53966,the spark of imagination that might have made it an exhilarating ,He might have made it an exhilarating spark of imagination that might have made it the bravest of all.,0.402,0.803,0.0
21237,to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists ,To let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists ,0.501,1.0,0.002
21237,to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists ,to let the earnestness of its execution and skill of its cast take you down a familiar road with a few [bitters]{,0.42,0.835,0.005
37203,... deliver a riveting and surprisingly romantic ride. ,... deliver a riveting and surprisingly romantic ride. ,0.505,1.0,0.011
37203,... deliver a riveting and surprisingly romantic ride. ,... Beer... deliver a riveting and surprisingly romantic ride. ,0.413,0.819,0.008
33018,"talented, charismatic and tragically ","talented, charismatic and tragically disingenous :",0.757,0.805,0.709
33018,"talented, charismatic and tragically ",talented - charismatic and tragically ,0.642,0.965,0.319
40346,director charles stone iii applies more detail to the film's music than to the story line ; what's best about drumline is its energy,"director Charles Stone applies more detail to the film's music than to the story line, what's best about drumline is its energy",0.498,0.945,0.051
40346,director charles stone iii applies more detail to the film's music than to the story line ; what's best about drumline is its energy,director charles stone iii applies more detail to the film ``smusic than to the story line. What's best about the drumline is its energy ',0.436,0.836,0.036
59119,appeal to women looking for a howlingly trashy time ,"appeal to women looking for a cheap round smile, ",0.779,0.603,0.955
59119,appeal to women looking for a howlingly trashy time ,appeal to women looking for a howlingly trashy time ,0.539,1.0,0.078
44533,makes one of the great minds of our times interesting and accessible ,Two of the great minds of our times makes such moments interesting and accessible ,0.383,0.764,0.003
44533,makes one of the great minds of our times interesting and accessible ,"Two from the six - intelligent ones of our times, makes one one of the great minds of our times interesting and accessible �",0.349,0.664,0.035
30475,"artful, watery tones ",artful -- Watery tones,0.949,0.969,0.929
30475,"artful, watery tones ","artful,watery tones ",0.674,1.0,0.347
34153,wistful new film ,wistious new film ,0.577,0.9,0.255
34153,wistful new film ,attomatic New Film ,0.417,0.579,0.255
6926,sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note ,sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note.,0.634,0.973,0.296
6926,sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note , Set itself apart by forming a chain of relationships that come full circle quickly to end on a positive ( if tragic ) note ,0.534,0.971,0.097
18004,who excels in the art of impossible disappearing/reappearing acts ,Chances and Masceptions in the art of impossible disappearing/reappearing acts ,0.677,0.836,0.518
18004,who excels in the art of impossible disappearing/reappearing acts ,Who excels in the art of impossible disappearing/reappearing acts in exchanged.,0.432,0.849,0.014
27652,astonishingly skillful and moving... it could become a historically significant work as well as a masterfully made one. ,astonishingly skillful and moving... it could become a historically significant work as well as a masterfully made one.,0.504,1.0,0.009
27652,astonishingly skillful and moving... it could become a historically significant work as well as a masterfully made one. ,astonishingly skillful and moving… it could become a historically significant work as well as a masterfully made one,0.492,0.98,0.003
8110,through than in most ` right-thinking'films ,Presented in most `` right-thinking'films.,0.706,0.858,0.553
8110,through than in most ` right-thinking'films ,Together with=OPE flowering,0.122,0.036,0.208
1152,to set and shoot a movie at the cannes film festival ,to set and shoot a movie at the Cannes Film Festival ,0.561,1.0,0.121
1152,to set and shoot a movie at the cannes film festival ,To set and shoot a movie at the Norwich Film Festival for an Actor.,0.526,0.75,0.303
64680,a fine-looking film with a bouncy score and ,A fine-looking film with a bouncy score and,0.506,1.0,0.013
64680,a fine-looking film with a bouncy score and ,A fine-looking film with a bouncy score and  An  ExcludingHi!,0.432,0.848,0.017
30969,a coming-of-age story and cautionary parable ,A coming-of-age story and a cautionary parable ,0.651,0.99,0.312
30969,a coming-of-age story and cautionary parable ,a coming-of-age story and a cautionary parable ,0.651,0.99,0.312
30372,"the cruelty and suffering he has found with an devastating, eloquent clarity ","The cruelty and suffering he has found with an devastating, eloquent clarity ``",0.51,0.98,0.039
30372,"the cruelty and suffering he has found with an devastating, eloquent clarity ","The cruelty he has found and with an devastating, eloquent clarity, the unequivocal outcome of cases.",0.423,0.845,0.002
53358,comes together as a coherent whole. ,coming as a coherent coherent whole. ,0.563,0.864,0.261
53358,comes together as a coherent whole. ,Helus contends together as a coherent coherent whole.,0.5,0.687,0.313
20944,"a brilliant, absurd collection of vignettes that, in their own idiosyncratic way, sum up the strange horror of life in the new millennium.","A brilliant, absurd collection of vignettes, in their own idiosyncratic way, that sum up in the strange horror of life in the new millennium.",0.594,0.991,0.198
20944,"a brilliant, absurd collection of vignettes that, in their own idiosyncratic way, sum up the strange horror of life in the new millennium.","A brilliant, absurd, collection of vignettes that sum up the strange horror of life in the new millennium in their own peculiar way.",0.49,0.972,0.007
33529,of the ultimate scorsese film ,Reasons for Concelling film : ,0.401,0.391,0.411
33529,of the ultimate scorsese film ,fracand Foresee upon the ultimate & ultimate scarenese film ,0.288,0.478,0.099
5980,", with humor, warmth, and intelligence, captures a life interestingly lived ","With humor, curiosity and intelligence, captures a life intrinsically lived.",0.457,0.866,0.048
5980,", with humor, warmth, and intelligence, captures a life interestingly lived ","With humor, Eviacle, and intelligence, captures a lifeively lived life with.",0.424,0.846,0.002
33229,with great help from kevin kline ,With great help from kevin kline ,0.53,1.0,0.061
33229,with great help from kevin kline ,With great help from kevin kline ,0.53,1.0,0.061
33030,"a pleasant and engaging enough sit, but ","a pleasant and engaging enough sit, but ",0.507,1.0,0.015
33030,"a pleasant and engaging enough sit, but ","a pleasant and engaging enough sit, but ",0.507,1.0,0.015
54401,a tradition-bound widow who is drawn into the exotic world of belly dancing ,a tradition-bound widow who is drawn into the exurpy world of belly dancing.,0.546,0.955,0.137
54401,a tradition-bound widow who is drawn into the exotic world of belly dancing ,A tradition-bound widow who is drawn into the exotic world of belly dancing ,0.516,1.0,0.033
18950,a marvelous performance by allison lohman as an identity-seeking foster child. ,owarding performance by allison lohman as an identity-seeking foster child.,0.586,0.898,0.273
18950,a marvelous performance by allison lohman as an identity-seeking foster child. ,a remarkable performance by allison lohman as an identity-seeking Foster child…,0.494,0.981,0.007
44518,reminds me of a vastly improved germanic version of my big fat greek wedding ,Great fat greek brides remindeds me of a improved German version of my big fat greek wedding.,0.908,0.868,0.947
44518,reminds me of a vastly improved germanic version of my big fat greek wedding ,reminds me of a large improved - german version of my big fat greek wedding ,0.695,0.936,0.453
44055,with fondness and respect ,with fondness and respect ,0.546,1.0,0.092
44055,with fondness and respect ,with kindness and respect ,0.418,0.731,0.105
4560,romp that's always fun to watch ,romp that's always fun to watch,0.51,1.0,0.02
4560,romp that's always fun to watch ,Ranaud : It is always fun to watch anyway.,0.196,0.387,0.004
26069,a catalyst for the struggle of black manhood in restrictive and chaotic america ,a catalyst for the struggle of black manhood in restricted and chaotic Americaa ,0.75,0.973,0.526
26069,a catalyst for the struggle of black manhood in restrictive and chaotic america ,a catalyst for the struggle of black manhood in restrictive and chaotic Americaa -,0.637,0.981,0.293
2628,the under-7 crowd ,the under-7 crowd =,0.555,0.961,0.148
2628,the under-7 crowd ,The under-7 Crowd ,0.527,1.0,0.054
51412,"the direction has a fluid, no-nonsense authority, and the performances by harris, phifer and cam ` ron seal the deal ","The direction has a fluid, no-nonsense authority. and performances by harris, phifer and cam `` ron Seal the Deal",0.498,0.988,0.008
51412,"the direction has a fluid, no-nonsense authority, and the performances by harris, phifer and cam ` ron seal the deal ","The direction has a fluid, no-nonsense authority, and performances of harris, phifer and cam 'on seal the deal'.",0.469,0.929,0.008
65984,value can not be denied ,value can not be denied ,0.588,1.0,0.176
65984,value can not be denied ,value can not be denied to any body.,0.528,0.753,0.302
42710,it's soulful and unslick ,it's soulful and unslick ,0.618,1.0,0.236
42710,it's soulful and unslick ,It is soulful and unslick ,0.516,0.977,0.055
65687,"what saves it... and makes it one of the better video-game-based flicks, is that the film acknowledges upfront that the plot makes no","What makes it one of the better video-games based flicks, is that the film acknowledges that the plot makes. -",0.58,0.845,0.316
65687,"what saves it... and makes it one of the better video-game-based flicks, is that the film acknowledges upfront that the plot makes no",What saves it and makes it one of the better videos game - game-based flicks ; is that the film acknowledges upfront that the plot makes no,0.48,0.959,0.001
44944,nurtures the multi-layers of its characters ,nurtures the multi-layers of its characters,0.641,1.0,0.283
44944,nurtures the multi-layers of its characters ,Nurtures the multi-layers of its characters ,0.641,1.0,0.283
15480,of you-are-there immediacy ,Of you-are-there immediacy ,0.647,1.0,0.295
15480,of you-are-there immediacy ,Of you-are-thereasm mode ,0.381,0.364,0.397
65306,"headed east, far east, in retelling a historically significant, and personal, episode detailing how one international city welcomed tens of thousands of german jew","East, far east in retelling a historically significant and personal episode, detailing how one international city welcomed tens of thousands of german jew.",0.48,0.96,0.001
65306,"headed east, far east, in retelling a historically significant, and personal, episode detailing how one international city welcomed tens of thousands of german jew","East, far East: In retelling a historical and personal episode, how how one international city welcomed tens of thousands of german jew.",0.473,0.946,0.0
46631,manages to sustain a good simmer for most of its running time ,manages to sustain a good simmer for most of its running time ,0.5,1.0,0.001
46631,manages to sustain a good simmer for most of its running time ,"For most of its running time, managersabout.manages to sustain a good simmer.",0.424,0.73,0.117
19599,a very very strong `` b + ,a very very strong `` b + ,0.534,1.0,0.068
19599,a very very strong `` b + ,a very very strong `` b + ,0.534,1.0,0.068
52831,good yarn-spinner ,good yarn-spinner ,0.687,1.0,0.375
52831,good yarn-spinner ,Good yarn-spinner ,0.687,1.0,0.375
61187,give a pretty good overall picture of the situation ,give a pretty good overall picture of the situation:,0.482,0.964,0.001
61187,give a pretty good overall picture of the situation ,None describes a pretty good overall picture of the situation.,0.4,0.799,0.001
19847,captures the unsettled tenor of that post 9-11 period far better than a more measured or polished production ever could. ,captures the calmed tenor of that post 9-11 period far better than a more measured or polished production ever could.,0.462,0.924,0.0
19847,captures the unsettled tenor of that post 9-11 period far better than a more measured or polished production ever could. ,The settled tenor captures the unsettled tenor of this period 9-11 far better than a more measured or polished production ever could.,0.388,0.775,0.001
51334,is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the american underground ,is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the American underground.,0.485,0.971,0.0
51334,is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the american underground ,is an arresting film by an adventurous young talent who finds his inspiration on the fringes of the American underground.,0.45,0.9,0.0
56484,"all the sensuality, all the eroticism of a good vampire tale ",All sensuality.All eroticism of a good vampire tale.,0.481,0.946,0.017
56484,"all the sensuality, all the eroticism of a good vampire tale ",All the sensuality.All the eroticism of a good story.,0.41,0.796,0.025
53998,wild-and-woolly ,wild-and-woolly ,0.666,1.0,0.332
53998,wild-and-woolly ,wild-and-and-woolly ,0.661,0.991,0.332
52944,"after an uncertain start, murder hits and generally sustains a higher plateau with bullock's memorable first interrogation of gosling. ","After an uncertain start, murder hits and usually sustains a higher plateau with Bullock's memorable first interrogation of Gosling.",0.5,0.999,0.001
52944,"after an uncertain start, murder hits and generally sustains a higher plateau with bullock's memorable first interrogation of gosling. ","After an uncertain start, murder hits and generally sustains a higher plateau with Bullock ''.",0.382,0.763,0.001
12313,is worth the price of admission. ,is worth the price of admission.,0.551,1.0,0.101
12313,is worth the price of admission. ,is worth the price of admission as,0.529,0.955,0.102
9292,schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas ,Schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of actors trying dress up performance styles and onscreen person,0.552,0.966,0.137
9292,schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas ,"Probably, Schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas ",0.484,0.962,0.006
60052,viva le resistance! ,viva le resistance! ,0.661,1.0,0.321
60052,viva le resistance! ,viva le - resistance! ,0.562,0.936,0.188
22750,so believable that you feel what they feel ,so believable that you feel what they feel ,0.57,1.0,0.14
22750,so believable that you feel what they feel ,so enlightly Oregon that you feel what they feel.,0.358,0.472,0.245
40065,engages us in constant fits of laughter ,Engages us in constant fits of laughter ,0.504,1.0,0.008
40065,engages us in constant fits of laughter ,Respondents us in constant fits of laughter neglected.,0.346,0.681,0.011
5146,will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster,Will make you think twice inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster.,0.485,0.971,0.0
5146,will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster,This pulls you to think twice about what might be going on inside each trailer park you drive past -- even though it does only inspires you to drive a little,0.463,0.911,0.014
999,a heartening tale of small victories ,A heartening tale of small victories ,0.534,1.0,0.068
999,a heartening tale of small victories ,A heartening tale of small victories ,0.534,1.0,0.068
11978,"perry's good and his is an interesting character, ",perry's good and his is an interesting character.,0.534,0.993,0.076
11978,"perry's good and his is an interesting character, ",perry's good and his is an interesting character.,0.534,0.993,0.076
26963,"dip into your wallet, swipe 90 minutes of your time, and ","dip into your wallet, swipe 90 minutes of your time, and ",0.972,1.0,0.944
26963,"dip into your wallet, swipe 90 minutes of your time, and ","Dip into your wallet, swipe 90 minutes of your time, and",0.972,1.0,0.944
64966,of sulky teen drama and overcoming-obstacles sports-movie triumph ,Of Soulyn teen drama and overcoming-obstacles sports-movie-victory.,0.639,0.832,0.445
64966,of sulky teen drama and overcoming-obstacles sports-movie triumph ,of sulky teen drama and overcoming-obstacles sports-movie triumph ,0.61,1.0,0.22
57066,be forgettable if it weren't such a clever adaptation of the bard's tragic play ,be forgettable if it weren't such a clever adaptation of the bard's tragic play :,0.506,0.993,0.018
57066,be forgettable if it weren't such a clever adaptation of the bard's tragic play ,be forget remained such a clever adaptation of the tragic play.,0.426,0.789,0.063
50832,is one helluva singer. ,is one helluva singer.,0.721,1.0,0.442
50832,is one helluva singer. ,is one helluva singer.,0.721,1.0,0.442
14674,vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role. ,"vincent gallo is right at home in this french shocker, playing his usual bad boy weirdo role.",0.508,0.998,0.018
14674,vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role. ,"vincent gallo is right at home in this french explosion, playing his usual bad boy weirdo role.",0.487,0.955,0.018
12474,"it has fun with the quirks of family life, ",it has fun with the quirks of family life.,0.501,0.993,0.009
12474,"it has fun with the quirks of family life, ",it has fun with the quirks of family life :,0.495,0.981,0.008
18278,"knowledge, education, and ",What are some Knowledgeful actions and ideas to promote a knowledge assuming life.,0.726,0.529,0.922
18278,"knowledge, education, and ","knowledge, education.",0.59,0.863,0.317
56853,non-stop funny feast ,Non-stop funny feast,0.715,1.0,0.429
56853,non-stop funny feast ,Non-stop funny feast ,0.715,1.0,0.429
25966,"of family, forgiveness and love ",Of family ). forgiveness and love.,0.57,0.903,0.237
25966,"of family, forgiveness and love ","Of family, forgiveness and love ",0.517,1.0,0.035
3811,the movie is better than you might think. ,the movie is better than you might think.,0.54,1.0,0.08
3811,the movie is better than you might think. ,The movie is better than you might think ;,0.497,0.969,0.024
31357,"sparkling, often hilarious romantic jealousy comedy... attal looks so much like a young robert deniro that it seems the film should instead be","Sparkling, often hilarious romantic jealousy comedy, attal looks so much like a young robert deniro that it seems the film should instead be",0.534,0.983,0.085
31357,"sparkling, often hilarious romantic jealousy comedy... attal looks so much like a young robert deniro that it seems the film should instead be",Sparkling ) often hilarious romantic jealousy comedy. Attal looks so much like a young robert deniro that it seems the film should instead be,0.499,0.982,0.015
10786,sustains a higher plateau with bullock's memorable first interrogation of gosling ,A higher plateau with bullock's memorable first interrogation of gosling,0.513,0.974,0.053
10786,sustains a higher plateau with bullock's memorable first interrogation of gosling ,blogservains a higher plateau with bullock's memorable first interrogation of gosling ,0.457,0.892,0.021
19482,of an especially well-executed television movie ,of especially well-executed television - movies,0.753,0.903,0.603
19482,of an especially well-executed television movie ,A particularly well - executed television movie :,0.709,0.945,0.473
43142,respects the material without sentimentalizing it ,The material without sentimentalizing.,0.686,0.835,0.538
43142,respects the material without sentimentalizing it ,respects the material without sentimentalizing them ,0.492,0.949,0.035
3951,intriguing and downright intoxicating ,intriguing and downright intoxicating ,0.601,1.0,0.201
3951,intriguing and downright intoxicating ,intriguing and downright intoxicating ,0.601,1.0,0.201
44815,a joyous communal festival ,a joyous communal festival,0.59,1.0,0.181
44815,a joyous communal festival ,A joyous communal festival ,0.59,1.0,0.181
37596,pleased to discover that tian's meticulous talent has not withered during his enforced hiatus ,pleased to discover that tian's talent has not withered during his enforced hiatus ,0.539,0.957,0.12
37596,pleased to discover that tian's meticulous talent has not withered during his enforced hiatus ,PLEED to discover that Tian's talent has not withered during his enforced hiatus.,0.468,0.872,0.064
26182,knows how to tell us about people ,knows how to tell us about people,0.662,1.0,0.324
26182,knows how to tell us about people ,"How do you tell us about people, if you're in a business and sociallyDiffering from yourself?",0.504,0.555,0.453
42732,it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing. ,IT has more than a few moments that are insightful enough to fondly remembered in the endlessly challenging maze of moviegoing.,0.499,0.998,0.0
42732,it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing. ,It has more than a few moments that are sufficient to be fondly remembered in the endlessly challenging maze of moviegoing.,0.489,0.971,0.008
34827,while the humor aspects of ` jason x'were far more entertaining than i had expected ,While the humor aspects of `` jason x'were far more entertaining than i had expected to '',0.5,0.979,0.021
34827,while the humor aspects of ` jason x'were far more entertaining than i had expected ,While the humor aspects of the `` jason x 'appears far more entertaining than I had expected ,0.488,0.973,0.002
9244,"prepared to cling to the edge of your seat, tense with suspense ","prepared to cling to the edge of your seat, tense with suspense.",0.832,0.98,0.685
9244,"prepared to cling to the edge of your seat, tense with suspense ","prepared to cling to the edge of your seat, tense with suspense ",0.635,1.0,0.27
31394,"in this sense the movie becomes a study of the gambles of the publishing world, offering a case study that exists apart from all the movie's","In this sense, the movie becomes a study of the gambles of the publishing world, offering a case study that exists apart from all the movie's",0.512,0.998,0.026
31394,"in this sense the movie becomes a study of the gambles of the publishing world, offering a case study that exists apart from all the movie's","In this sense the movie becomes a study of the gambles of the publishing world, offering a case study that exists apart from all the movie.",0.498,0.982,0.013
33694,this fascinating -- and timely -- content ,This fascinating -- and timely content ,0.497,0.991,0.004
33694,this fascinating -- and timely -- content ,this fascinating -- and clinical -- content,0.472,0.561,0.382
16310,yet i found it weirdly appealing ,yet i found it weirdly appealing ,0.5,1.0,0.001
16310,yet i found it weirdly appealing ,B.Doe found it very weirdly attractive ',0.267,0.53,0.004
23805,"is a divine monument to a single man's struggle to regain his life, his dignity and his music. ",is a divine monument to a single man's struggle to regain his life.,0.593,0.901,0.284
23805,"is a divine monument to a single man's struggle to regain his life, his dignity and his music. ","İ Is a divine monument to a single man's struggle to regain his life, his dignity and his music,",0.481,0.942,0.021
34726,"heartwarming, nonjudgmental kind ","heartwarming, nonjudgmental kind ",0.785,1.0,0.569
34726,"heartwarming, nonjudgmental kind ",Heaving in Heartwarming : Nonjudgmental Kind ;,0.396,0.763,0.029
50830,need a playful respite ,need a respite ,0.682,0.489,0.875
50830,need a playful respite ,need a playful respite ,0.604,1.0,0.208
10878,symbolic graphic design ,Symbolic graphic design ,0.697,1.0,0.394
10878,symbolic graphic design ,symbolic graphic design ,0.697,1.0,0.394
27091,is one that any art-house moviegoer is likely to find compelling. ,is one that any art-house moviegoer is likely to find compelling.,0.719,1.0,0.437
27091,is one that any art-house moviegoer is likely to find compelling. ,"is one that any art-house moviegoer is likely to find compelling, ",0.717,0.997,0.437
43871,alternates between deadpan comedy and heartbreaking loneliness and isn't afraid to provoke introspection in both its characters and its audience. , alternatingates between deadpan comedy and heartbreaking loneliness and is not afraid to provoke introspection in both its character and its audience.,0.489,0.979,0.0
43871,alternates between deadpan comedy and heartbreaking loneliness and isn't afraid to provoke introspection in both its characters and its audience. ,The alternate orbits between deadpan comedy and heartbreaking loneliness and is not afraid to provoke introspection in both their characters and its audience.,0.481,0.961,0.0
38982,meaning in relationships or work ,"Should relationships or work be considered as meaningful, meaning in relationships.",0.661,0.815,0.506
38982,meaning in relationships or work ,In relationships or work in completed. Note.,0.461,0.659,0.264
4894,"broomfield is energized by volletta wallace's maternal fury, her fearlessness ","Broomfield is energized by volletta wallace's maternal fury, her fearlessness. ",0.519,0.975,0.064
4894,"broomfield is energized by volletta wallace's maternal fury, her fearlessness ",broomfield is energized by volletta wallace's maternal fury. Her fearlessness is herLeave,0.487,0.972,0.002
39132,to capture the novel's deeper intimate resonances ,To capture the novel's deeper intimate resonances ,0.575,1.0,0.15
39132,to capture the novel's deeper intimate resonances ,To capture the novel's deeper intimate resonances,0.575,1.0,0.15
65141,add much-needed levity to the otherwise bleak tale ,add much-needed levity to the otherwise bleak tale.,0.976,0.987,0.966
65141,add much-needed levity to the otherwise bleak tale ,The add much-needed levity to the otherwise bleak tale.,0.658,0.947,0.37
22651,funny and well-contructed black comedy ,funny and well-contructed black comedy ,0.598,1.0,0.196
22651,funny and well-contructed black comedy ,Funny and well-contructed black comedy ,0.598,1.0,0.196
46802,a coming-of-age tale ,A coming-of-age tale ,0.835,1.0,0.671
46802,a coming-of-age tale ,a coming-of-age tale ,0.835,1.0,0.671
23850,( breheny's ) lensing of the new zealand and cook island locations captures both the beauty of the land and the people. ,( breheny's ) lensing of the new zealand and cook island locations captures both the beauty of the land and the people.,0.5,1.0,0.0
23850,( breheny's ) lensing of the new zealand and cook island locations captures both the beauty of the land and the people. ,( breheny ) lensing of the new zealand and cook island locations catches both the beauty of the land and people.,0.493,0.981,0.006
3808,some laughs and a smile ,Some laughs and a smile ,0.51,1.0,0.019
3808,some laughs and a smile ,www.gentlemensharing.org… Some laughs and a smile.,0.334,0.6,0.067
63896,"the passion, creativity, and fearlessness of one of mexico's most colorful and controversial artists -- a captivating drama that will speak to","the passion, creativity and fearlessness of one of mexico's most colorful and controversial artists -- a captivating drama that will tell to",0.498,0.997,0.0
63896,"the passion, creativity, and fearlessness of one of mexico's most colorful and controversial artists -- a captivating drama that will speak to","the passion, creativity and fearlessness of one of Texaco's most colorful and controversial artists -- a captivating drama that will speak to",0.385,0.769,0.0
23521,a james bond series ,a james bond series ,0.573,1.0,0.146
23521,a james bond series ,A james bond series ,0.573,1.0,0.146
17211,a level of connection and concern ,a level of connection and concern.,0.607,0.974,0.24
17211,a level of connection and concern ,A level of related cable notices and consideration ,0.403,0.52,0.285
25860,making it one of the year's most enjoyable releases ,making it one of the most enjoyable releases of the year's.,0.477,0.949,0.004
25860,making it one of the year's most enjoyable releases ,Make it one of IX's most enjoyable releases.,0.348,0.683,0.014
9284,makes an amazing breakthrough in her first starring role and eats up the screen. ,Make an amazing breakthrough in her first starring role and eats up the screen.,0.472,0.935,0.008
9284,makes an amazing breakthrough in her first starring role and eats up the screen. ,lines an amazing breakthrough in her first starring role and eats up the screen ``,0.444,0.887,0.001
25548,an engaging and moving portrait ,An engaging and moving portrait,0.508,1.0,0.016
25548,an engaging and moving portrait ,an engaging and moving portrait,0.508,1.0,0.016
31332,"religion that dares to question an ancient faith, ","Religion that dares to question an ancient faith,",0.519,1.0,0.038
31332,"religion that dares to question an ancient faith, ",Religion that dares to question an ancient faith ; ,0.5,0.996,0.004
17729,eerily accurate depiction of depression ,eerily accurate depiction of depression ,0.845,1.0,0.691
17729,eerily accurate depiction of depression ,eerily accurate depiction of depression ,0.845,1.0,0.691
60397,entertaining and suggestive ,entertaining and suggestive ,0.618,1.0,0.236
60397,entertaining and suggestive ,What isentertaining and suggestive and what's happening  ,0.528,0.566,0.489
6136,affable if not timeless ,affable mechanical if not timeless ,0.684,0.819,0.548
6136,affable if not timeless ,Direct and immediate. Affable if not timeless.,0.654,0.725,0.582
66087,create a feature film that is wickedly fun to watch ,create a feature film that is wickedly fun to watch,0.5,1.0,0.0
66087,create a feature film that is wickedly fun to watch ,create a feature film that is wickedly fun to watch ,0.5,1.0,0.0
4005,mordantly funny and intimately knowing... ,mordantly funny and intimately knowing,0.516,0.942,0.091
4005,mordantly funny and intimately knowing... ,"Mordantly funny and intimately knowing,",0.516,0.961,0.072
24145,", frenetic, funny, even punny 6 ",", frenetic, funny, even punny 6 ",0.695,1.0,0.39
24145,", frenetic, funny, even punny 6 ","Funny, frenetic, funny ; even punny 6",0.502,0.945,0.06
62439,a perfectly entertaining summer diversion ,A perfectly entertaining Summer diversion ,0.509,1.0,0.017
62439,a perfectly entertaining summer diversion ,a perfectly entertaining summer diversion ,0.509,1.0,0.017
45546,two men who discover what william james once called ` the gift of tears ,Two men who discovered what william james once called `` the gift of tears '' discovering.,0.504,0.961,0.048
45546,two men who discover what william james once called ` the gift of tears ,Two men who discover what william james once dubbed the gift of tears.,0.475,0.94,0.01
45833,steven seagal ,steven seagal ,0.711,1.0,0.422
45833,steven seagal ,stevenseagal ,0.385,0.438,0.332
55071,"slovenly life in this self-deprecating, biting and witty feature written by charlie kaufman and his twin brother, don","Slovenly life in this self-deprecating, biting and witty feature written by charlie kaufman and his twin brother, don don",0.498,0.992,0.004
55071,"slovenly life in this self-deprecating, biting and witty feature written by charlie kaufman and his twin brother, don","Slovenly located life in this self-deprecating biting and witty feature written by charlie kaufman and his twin brother,",0.49,0.965,0.016
38728,making `` die another day '' one of the most entertaining bonds in years ,Make '' die another day '' one of the most entertaining bonds in years,0.494,0.985,0.003
38728,making `` die another day '' one of the most entertaining bonds in years ,is the analogy of making '' die another day '' one of the most entertaining bonds in years.,0.429,0.842,0.017
65454,"it more than makes up for in drama, suspense, revenge, and romance. ","it more than makes up for drama, suspense, revenge and romance.",0.669,0.981,0.358
65454,"it more than makes up for in drama, suspense, revenge, and romance. ","it more than makes up for in drama, suspense, revenge and romance.",0.559,0.998,0.121
292,", the film retains ambiguities that make it well worth watching. ",The film retains ambiguities that make it well worth watching.,0.498,0.996,0.001
292,", the film retains ambiguities that make it well worth watching. ","The film retains ambiguities that animate it, make it worth watching.",0.443,0.885,0.001
31126,"this has layered, well-developed characters and some surprises. ",This has layered characters; well-developed characters and some early appearances.,0.644,0.87,0.419
31126,"this has layered, well-developed characters and some surprises. ",This has layered characters and some surprises. ,0.526,0.915,0.138
63348,is emerging in world cinema ,is emerging cinema in ,0.546,0.933,0.158
63348,is emerging in world cinema ,is emerging in world cinema ,0.546,1.0,0.092
11267,the good girl is a film in which the talent is undeniable ,the good girl is a film in which talent is undeniable,0.642,0.999,0.284
11267,the good girl is a film in which the talent is undeniable ,the good girl is a film in which talent is undeniable _,0.558,0.991,0.125
28250,really sets the film apart is debrauwer's refusal to push the easy emotional buttons ,really sets the film apart is debrauwer's refusal to push the easy emotional buttons.,0.498,0.986,0.011
28250,really sets the film apart is debrauwer's refusal to push the easy emotional buttons ,Really setting the film apart is Debrauwer's refusal to push the easy emotional buttons :,0.494,0.984,0.005
26319,"the script is high on squaddie banter, low on shocks. ",The script is high on squaddie banter and low on shocks. ,0.954,0.996,0.911
26319,"the script is high on squaddie banter, low on shocks. ","The script is high on squaddie banter, low on shocks and givett ;",0.88,0.955,0.805
23393,"i stopped thinking about how good it all was, and started doing nothing but reacting to it - feeling a part of its grand locations, thinking urgently as","In order to stop thinking about how good it all was, i stopped doing nothing but reacting to it - feeling a part of its grand locations, thinking",0.455,0.899,0.012
23393,"i stopped thinking about how good it all was, and started doing nothing but reacting to it - feeling a part of its grand locations, thinking urgently as","i stopped thinking about how good it was and started doing nothing but reacting to it - feeling a part of its grand locations, thinking only as",0.443,0.867,0.02
27184,a solidly entertaining little film ,a solidly entertaining little film ,0.501,1.0,0.002
27184,a solidly entertaining little film ,a solidly entertaining little film to which drone The Sikkand :isfiles,0.289,0.568,0.01
