"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim","successful_attack"
"57158","'s kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers. "," Sentinel's childman holds the film along with a supremely - kittenish performance that gradually accumulates more layers------","0.004","0.419","0.003","0.0","0"
"57158","'s kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers. ","The kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers.","0.0","0.437","0.0","0.0","0"
"29617","is interesting to witness the conflict from the palestinian side ","is interesting to witness the conflict, from the palestinian side, itself.","0.242","0.158","0.293","0.114","0"
"29617","is interesting to witness the conflict from the palestinian side ","It is interesting to witness the conflict from the palestinian side.","0.087","0.852","0.067","0.114","0"
"47626","the film's sense of imagery gives it a terrible strength ","The film's sense of imagery gives it a terrible strength.","0.892","0.915","0.885","0.013","1"
"47626","the film's sense of imagery gives it a terrible strength ","The film's sense of imagery gives it a terrible strength.","0.892","0.915","0.885","0.013","1"
"42244","in these characters'foibles a timeless and unique perspective ","In these characters'foibles, a critical and unique perspective.","0.071","0.376","0.056","0.0","0"
"42244","in these characters'foibles a timeless and unique perspective ","in these characters - foibles a woman's unique respect and modern perspective.","0.0","0.0","0.001","0.0","0"
"48428","a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents'anguish ","A compelling piece that shows just how well children can be trained to live out and carry on their parents 'Angility '","0.24","0.713","0.196","0.003","0"
"48428","a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents'anguish ","A compelling piece that shows just how well children can be trained to live out and carry on their parents' anguish.","0.121","0.894","0.094","0.003","0"
"5046","originality in ` life'to distance it from the pack of paint-by-number romantic comedies ","Originality in `` life. ''","0.213","0.079","0.491","0.049","0"
"5046","originality in ` life'to distance it from the pack of paint-by-number romantic comedies ","Originality noticeable in `` life 'to distance it from the pack of paint-by-number romantic comedies ","0.178","0.259","0.162","0.049","0"
"29676","the story is smart and entirely charming in intent and execution. ","The story is smart and exceptionally charming in intent and execution","0.0","0.279","0.0","0.0","0"
"29676","the story is smart and entirely charming in intent and execution. ","The story is quietly and entirely charming in intent and execution.","0.0","0.233","0.0","0.0","0"
"30279","is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks. ","Despite being quite persistent, despite being noticeably derivative of Goodfellas, and at least a half dozen other suspiciously heels.","0.289","0.094","0.933","0.0","0"
"30279","is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks. ","is shockingly engaging.","0.025","0.007","0.42","0.0","0"
"50071","the story's scope and pageantry are mesmerizing ","The story's scope and pageantry are mesmerizing.","0.575","0.896","0.514","0.005","1"
"50071","the story's scope and pageantry are mesmerizing ","The story's scope and pageantry are mesmerizing'.","0.51","0.498","0.514","0.005","0"
"15017","with often surprising twists and an intermingling of naiveté and sophistication ","with often surprising twists, and an intermingling of naiveté and sophistication？","0.636","0.925","0.576","0.16","1"
"15017","with often surprising twists and an intermingling of naiveté and sophistication ","with often surprising twists and an intermingling of naiveté and sophistication.","0.226","0.927","0.181","0.16","0"
"24161","beautifully filmed and well acted... but admittedly problematic in its narrative specifics. ","Beautifully filmed and well acted, but frankly problematic in its narrative.","0.857","0.755","0.898","0.819","0"
"24161","beautifully filmed and well acted... but admittedly problematic in its narrative specifics. ","Beautifully filmed and well acted, but admittedly problematic in its narrative details.","0.825","0.842","0.819","0.819","0"
"22196","the blacklight crowd, way cheaper ( and better ) ","the Blacklight - Crowd, way, far cheaper ( and better )","0.65","0.559","0.687","0.439","0"
"22196","the blacklight crowd, way cheaper ( and better ) ","The blacklight crowd, way cheaper, ( and better )","0.181","0.69","0.145","0.439","0"
"40584","are among the chief reasons brown sugar is such a sweet and sexy film. ","are amongst the chief reasons that brown sugar is such a sweet and sexy film.","0.052","0.503","0.04","0.022","0"
"40584","are among the chief reasons brown sugar is such a sweet and sexy film. ","Among the chief reasons brown sugar is such a sweet and sexy film.","0.02","0.879","0.015","0.022","0"
"936","is always a joy to watch, even when her material is not first-rate ","is always a joy to watch. although her material is not first important.","0.089","0.226","0.074","0.453","0"
"936","is always a joy to watch, even when her material is not first-rate ","Even when her material is first-rate","0.0","0.0","0.124","0.453","0"
"10916","this little-known story of native americans and ","this little-known story of native Americans","0.022","0.381","0.016","0.01","0"
"10916","this little-known story of native americans and ","This little-known story of native americans and what continues dripping.","0.019","0.112","0.015","0.01","0"
"64990","a headline-fresh thriller set among orthodox jews on the west bank, joseph cedar's time ","a headline-reshy set among orthodox jews on affair on the Mumbai bank, joseph Cedar's time","0.0","0.0","0.277","0.399","0"
"64990","a headline-fresh thriller set among orthodox jews on the west bank, joseph cedar's time ","A headline-once-set among orthodox jews of the west bank, joseph cedar, time ''","0.0","0.0","0.166","0.399","0"
"45257","nighttime manhattan, a loquacious videologue of the modern male and ","nighttime manhattan functions, a loquacious taxis videologue of the modern male and","0.074","0.029","0.155","0.022","0"
"45257","nighttime manhattan, a loquacious videologue of the modern male and ","nighttime manhattan, a loquacious narrative from the modern male and ``","0.067","0.143","0.057","0.022","0"
"65074","have absolutely no idea who the main characters are until the film is well under way -- and yet it's hard to stop watching. ","have absolutely no idea who the main characters are until the film is very under way -- and yet it's hard to stop watching.","0.761","0.951","0.713","0.378","1"
"65074","have absolutely no idea who the main characters are until the film is well under way -- and yet it's hard to stop watching. ","Have absolutely no idea who the main characters are until the film is well under way -- and yet it's hard to stop watching...","0.444","0.944","0.378","0.378","0"
"57309","she's a pretty woman, but she's no working girl ","she's a pretty woman, but she's no working girl ``","0.9","0.81","0.934","0.936","0"
"57309","she's a pretty woman, but she's no working girl ","She's an pretty woman, but she's no working girl ''.","0.809","0.594","0.919","0.936","0"
"54672","sheridan had a wonderful account to work from, but, curiously, he waters it down, turning grit and vulnerability into light reading ","sheridan had a wonderful account to work from, but curiously, he waters it down, turning grit and vulnerability into light reading","0.108","0.875","0.084","0.074","0"
"54672","sheridan had a wonderful account to work from, but, curiously, he waters it down, turning grit and vulnerability into light reading ","Sheridan had a wonderful account to a work from ( ; curiously continued ).","0.0","0.0","0.495","0.074","0"
"3867","delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph ","delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph ","0.738","0.853","0.706","0.706","0"
"3867","delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph ","delightful muss, sulky teen drama and overcoming-obstacles sports-movie triumph,","0.46","0.291","0.571","0.706","0"
"39519","than sucking you in... and making you sweat ","Suguing you, and making you sweat","0.239","0.433","0.208","0.102","0"
"39519","than sucking you in... and making you sweat ","than toanking you in...","0.174","0.063","0.421","0.102","0"
"19835","the best espionage picture to come out in weeks ","The best espionage picture that comes out in weeks will provide need-built explanation","0.575","0.385","0.688","0.018","0"
"19835","the best espionage picture to come out in weeks ","Here we get some 'best espionage. With weeks' picture.","0.213","0.071","0.643","0.018","0"
"6922","the throes of their first full flush of testosterone ","The reflexes of their first full flush of testosterone","0.258","0.756","0.212","0.178","0"
"6922","the throes of their first full flush of testosterone ","The throes of their first full flush of testosterone.","0.052","0.893","0.04","0.178","0"
"18353","that's every bit as enlightening, insightful and entertaining as grant's two best films ","That's every bit as enlightening, insightful and entertaining.","0.17","0.174","0.169","0.003","0"
"18353","that's every bit as enlightening, insightful and entertaining as grant's two best films ","that, making it as enlightening, insightful, and entertaining as grants's two great films.","0.066","0.783","0.051","0.003","0"
"13756","alias betty is richly detailed, deftly executed and utterly absorbing. "," - PerformanceTips : betty is precisely detailed, deftly executed, and completely absorbed. ``","0.202","0.438","0.172","0.012","0"
"13756","alias betty is richly detailed, deftly executed and utterly absorbing. ","alias Betty is richly detailed, sharply executed and utterly absorbing -","0.0","0.771","0.0","0.012","0"
"35867","a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age. ","A captivating coming-of-age story that may also be the first Franklin-Ferguson attempt to be truly informed by wireless age.","0.529","0.258","0.815","0.013","0"
"35867","a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age. ","a captivating coming-of-age story, who may also be the first narrative film to be truly informed by wireless age.","0.038","0.408","0.029","0.013","0"
"64184","leigh is one of the rare directors who feels acting is the heart and soul of cinema. ","iceleigh is one of the rare directors, who feels that acting is the heart and soul of cinema.","0.005","0.636","0.004","0.0","0"
"64184","leigh is one of the rare directors who feels acting is the heart and soul of cinema. ","He's one of the rare directors who feels acting is the heart and soul of cinema.","0.0","0.358","0.0","0.0","0"
"62318","'s probably worth catching solely on its visual merits ","'s probably worth liking on its visual merits,","0.071","0.054","0.079","0.022","0"
"62318","'s probably worth catching solely on its visual merits "," Mr's probably worth catching solely on its visual merits","0.018","0.05","0.015","0.022","0"
"37355","you feeling like you've seen a movie instead of an endless trailer ","You feel like you've seen a movie instead of an ugly fake.","0.578","0.281","0.892","0.207","0"
"37355","you feeling like you've seen a movie instead of an endless trailer ","You feel like you have seen a movie instead of an endless trailer.","0.317","0.854","0.262","0.207","0"
"6632","explores the awful complications of one terrifying day ","explores the awful complications of one terrifying day.","0.287","0.957","0.233","0.331","0"
"6632","explores the awful complications of one terrifying day ","ExploresatalThe awful complications of one day.","0.145","0.151","0.143","0.331","0"
"30573","halle berry does her best to keep up with him ","halle berry does her best, keeping up with him.","0.209","0.853","0.167","0.01","0"
"30573","halle berry does her best to keep up with him ","Halle berry does her best to keep up with him ``","0.012","0.856","0.009","0.01","0"
"22875","emerge as an exquisite motion picture in its own right ","emerge as an exquisite moment in its own right *","0.015","0.238","0.012","0.0","0"
"22875","emerge as an exquisite motion picture in its own right ","emerge as an exquisite motion picture, in its own right.","0.008","0.635","0.006","0.0","0"
"48865","what's even more remarkable is the integrity of devito's misanthropic vision ","what's incredible is the integrity of Devito, 'S misanthropic vision ''. ","0.014","0.527","0.01","0.003","0"
"48865","what's even more remarkable is the integrity of devito's misanthropic vision ","What is even more remarkable is the integrity of devito's misanthropic vision.","0.005","0.874","0.004","0.003","0"
"22297","it's a square, sentimental drama that satisfies, as comfort food often can. ","it's a square, sentimental drama that satisfies, as comfort food often can.","0.212","0.842","0.17","0.17","0"
"22297","it's a square, sentimental drama that satisfies, as comfort food often can. ","It's a square, sentimental drama that satisfying, as comfort food often can.","0.174","0.186","0.17","0.17","0"
"25572","a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch ","a spark of life -- more than you can say with numerous Hollywood movies that flow through assigned Hollywood pipeline, without a hitch","0.194","0.565","0.159","0.004","0"
"25572","a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch ","A spark of life to it -- more than you can say many of movies that flow through the Hollywood pipeline, without a hitch.","0.03","0.71","0.023","0.004","0"
"12439","under the sweet, melancholy spell of this unique director's previous films ","under the sweet, melancholy spell of this particular director's previous films ","0.195","0.953","0.154","0.03","0"
"12439","under the sweet, melancholy spell of this unique director's previous films ","Under the sweet, melancholy, itch of this unique director's previous films","0.153","0.704","0.121","0.03","0"
"16237","just like a splendid meal, red dragon satisfies -- from its ripe recipe, inspiring ingredients, certified cuisine and palatable presentation. ","Just like a splendid meal.","0.083","0.045","0.116","0.052","0"
"16237","just like a splendid meal, red dragon satisfies -- from its ripe recipe, inspiring ingredients, certified cuisine and palatable presentation. ","Like a splendid meal, red dragon transforms -- from its ripe recipe, inspiring ingredients, certified cuisine and palatable presentation.","0.015","0.71","0.012","0.052","0"
"53970","a light, yet engrossing piece. ","a light yet engrossing piece.","0.1","0.905","0.077","0.247","0"
"53970","a light, yet engrossing piece. ","a light assumed, yet engrossing piece. ","0.021","0.022","0.021","0.247","0"
"44902","allows his cast the benefit of being able to give full performances "," acknowledgment of his cast the benefit of being able to give full performances","0.052","0.106","0.044","0.03","0"
"44902","allows his cast the benefit of being able to give full performances ","insist his - cast the benefit of being able to give full performances.","0.0","0.0","0.258","0.03","0"
"35112","the art direction and costumes are gorgeous and finely detailed, and ","The art direction and costumes are comparably detailed,","0.351","0.297","0.373","0.001","0"
"35112","the art direction and costumes are gorgeous and finely detailed, and ","The art direction and costumes are gorgeous and very detailed :","0.0","0.947","0.0","0.001","0"
"56676","'s a satisfying summer blockbuster and worth a look. ","'s a satisfying summer blockbuster and worth a look.","0.008","0.269","0.006","0.006","0"
"56676","'s a satisfying summer blockbuster and worth a look. ","There's s a satisfying summer blockbuster and worth a look.","0.001","0.062","0.001","0.006","0"
"2011","crammed with scenes and vistas and pretty moments ","crammed with scenes and vistas and pretty moments.","0.499","0.877","0.437","0.089","0"
"2011","crammed with scenes and vistas and pretty moments ","crammed with scenes and vistas and pretty moments ","0.113","0.686","0.089","0.089","0"
"63099","a pretty good execution of a story that's a lot richer than the ones hollywood action screenwriters usually come up with on their own ","A pretty good execution of a story that's a lot richer than the ones Hollywood action screenwriters usually come up with on their own ","0.014","0.946","0.011","0.011","0"
"63099","a pretty good execution of a story that's a lot richer than the ones hollywood action screenwriters usually come up with on their own ","a pretty good execution of a story that's a lot richer than the ones hollywood action; screenwriters usually come up with on their own.","0.006","0.767","0.004","0.011","0"
"10169",", pretty and gifted, it really won my heart ","Pretty and gifted, it really won my heart.","0.028","0.825","0.021","0.003","0"
"10169",", pretty and gifted, it really won my heart ","Pretty and gifted, it really won my heart.","0.028","0.825","0.021","0.003","0"
"21416","a clutch of lively songs for deft punctuation ","a clutch of lively songs for late sets punctuation.","0.016","0.101","0.012","0.002","0"
"21416","a clutch of lively songs for deft punctuation ","a clutch of noisy songs forefinement,","0.0","0.0","0.949","0.002","0"
"14644","it is were it not for the striking, quietly vulnerable personality of ms. ambrose ","it is were it not, silent, quietly vulnerable personality of ms. ambrose.","0.047","0.013","0.432","0.691","0"
"14644","it is were it not for the striking, quietly vulnerable personality of ms. ambrose ","It is, were it not for the striking but quietly vulnerable personality of ms. ambrose.","0.025","0.777","0.019","0.691","0"
"9022","you 'll find yourself remembering this refreshing visit to a sunshine state. ","You'll find yourself remembering this refreshing visit to a sunshine state,","0.005","0.852","0.004","0.006","0"
"9022","you 'll find yourself remembering this refreshing visit to a sunshine state. ",".. You'll find yourself remembering this refreshing visit to a sunshine state.","0.004","0.952","0.003","0.006","0"
"43099","'' is suitable summer entertainment that offers escapism without requiring a great deal of thought. ","w, `` is situated summer entertainment that sufficient escapism without great pretension.","0.098","0.071","0.112","0.008","0"
"43099","'' is suitable summer entertainment that offers escapism without requiring a great deal of thought. ","'' is suitable summer entertainment that offers escapism without a great deal of thought.","0.003","0.272","0.002","0.008","0"
"24336","most of the things that made the original men in black such a pleasure ","Most of the things that made the original men in black such pleasure.","0.38","0.746","0.327","0.016","0"
"24336","most of the things that made the original men in black such a pleasure ","Most of the things that made the original men in black such a pleasure","0.022","0.77","0.016","0.016","0"
"27830","manages never to grow boring... which proves that rohmer still has a sense of his audience ","manages never grow boring, which proves that rohmer - still, has a sense of his audience.","0.134","0.164","0.126","0.011","0"
"27830","manages never to grow boring... which proves that rohmer still has a sense of his audience ","manages never grow boring, which proves that rohmer still has a sense of his audience,","0.005","0.288","0.004","0.011","0"
"46514","'s better than one might expect when you look at the list of movies starring ice-t in a major role. ","'s better than one might expect when searching the list of Hollywood invites ice-t in a major role '","0.507","0.229","0.851","0.012","0"
"46514","'s better than one might expect when you look at the list of movies starring ice-t in a major role. ","It's better than one might expect when you look at the list of movies starring ice-t himself.","0.011","0.386","0.008","0.012","0"
"55973","rapidly develops into a gut-wrenching examination of the way cultural differences and emotional expectations collide. ","rapidly develops into a grenching examination of the way cultural differences and emotional expectations collide.","0.015","0.784","0.011","0.058","0"
"55973","rapidly develops into a gut-wrenching examination of the way cultural differences and emotional expectations collide. ","rapidly develops into a gut wrenching examination of the way cultural differences and emotional expectations collide.","0.0","0.798","0.0","0.058","0"
"8042","has all the trappings of an energetic, extreme-sports adventure, but ","has all the trappings of an energetic, extreme sports adventure, but","0.63","0.83","0.583","0.687","0"
"8042","has all the trappings of an energetic, extreme-sports adventure, but ","has all the trappings of an energetic, extreme sports adventure, but","0.63","0.83","0.583","0.687","0"
"4547","is a solid action pic that returns the martial arts master to top form ","is a solid action picture that returns Martial Arts Masters to top form =","0.014","0.787","0.01","0.001","0"
"4547","is a solid action pic that returns the martial arts master to top form ","is a solid action pic that returns to top form the martial arts master.","0.008","0.185","0.006","0.001","0"
"42322","this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself, ` ah, yes, ","This is the kind of movie you have to watch at least for about thirty seconds before you say.","0.625","0.605","0.632","0.908","0"
"42322","this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself, ` ah, yes, ","This is the kind of movie that you only need to watch for several minutes before you say to yourself, `` ah Mahađa,"" yes (","0.0","0.0","0.805","0.908","0"
"55017","feature to hit theaters since beauty and the beast 11 years ago ","feature to hit theaters, since beauty and beasts 11 years ago.","0.007","0.036","0.005","0.02","0"
"55017","feature to hit theaters since beauty and the beast 11 years ago ","feature to hit theaters since beauty and the insect 11 years ago","0.0","0.0","0.016","0.02","0"
"31581","lends the setting the ethereal beauty of an asian landscape painting ","Lends the setting theethereal beauty of an asian landscape painting.","0.008","0.058","0.006","0.0","0"
"31581","lends the setting the ethereal beauty of an asian landscape painting ","lends the setting the ethereal beauty of an asian landscape painting i","0.0","0.537","0.0","0.0","0"
"13599","recommended as an engrossing story about a horrifying historical event and the elements which contributed to it ","Recommended as an engrossing story beginning with a horrifying historical event and the elements which contributed to it","0.087","0.478","0.068","0.051","0"
"13599","recommended as an engrossing story about a horrifying historical event and the elements which contributed to it ","Education unions recommend it as an engrossing story about a horrifying historical event, and the elements contributing to it.","0.012","0.586","0.009","0.051","0"
"26501","its flame-like, roiling black-and-white inspires trembling and gratitude. ","Its flame-like, roiling black-and-white inspires trembling and gratitude,","0.392","0.877","0.331","0.331","0"
"26501","its flame-like, roiling black-and-white inspires trembling and gratitude. ","its flame-like, roiling black-and-white, inspires trembling and gratitude.","0.013","0.629","0.01","0.331","0"
"14804","like any good romance, son of the bride, proves it's never too late to learn. ","Like any good romance, son of the bride, proves it 'is never too late to learn.","0.501","0.626","0.469","0.628","0"
"14804","like any good romance, son of the bride, proves it's never too late to learn. ","As the son of the bride, proves which one cannot be too late.","0.071","0.019","0.843","0.628","0"
"6359","who might otherwise go unnoticed and underappreciated by music fans ","Honcillosa, seemingly invisible, whom may be unaware and underappreciated by music fans.","0.104","0.029","0.862","0.026","0"
"6359","who might otherwise go unnoticed and underappreciated by music fans ","who may otherwise go unnoticed and underappreciated by music fans.","0.102","0.817","0.079","0.026","0"
"13265","a moving and weighty depiction of one family's attempts to heal after the death of a child. ","a moving and weighty depiction of one family surely attempting to heal after the death of a child.","0.034","0.736","0.026","0.09","0"
"13265","a moving and weighty depiction of one family's attempts to heal after the death of a child. ","a moving and weighty depiction of one family healing after the death of a child.","0.016","0.79","0.012","0.09","0"
"20326","mined his personal horrors and came up with a treasure chest of material ","mined his personal horrors and came up with a treasure chest of material.","0.07","0.833","0.054","0.097","0"
"20326","mined his personal horrors and came up with a treasure chest of material ","His own horrors showed and came up with a treasure chest of material.","0.018","0.522","0.013","0.097","0"
"37359","that is funny and pithy, while illuminating an era of theatrical comedy that, while past, ","This is funny and pithy. It encapsles an era of theatrical comedy, while show","0.075","0.09","0.071","0.001","0"
"37359","that is funny and pithy, while illuminating an era of theatrical comedy that, while past, ","that funny and pithy, while illuminating an era of theatrical comedy.","0.02","0.102","0.016","0.001","0"
"5015","less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese ","Wordsless for its story of actorly existential despair than for its formal performances and glimpse into another kind of chinese.","0.002","0.037","0.001","0.002","0"
"5015","less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese ","No less for its story of actorly existential despair than for its formal boundary-hopping.","0.0","0.0","0.036","0.002","0"
"63172","something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us ","Something poignant about an artist of 90-plus years taking the effort toshare his impressions of life and loss and time and art with us","0.033","0.44","0.025","0.015","0"
"63172","something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us "," Something poignant. An artist of 90 plus years taking the effort to share his impressions of life and loss and time and art with us.","0.006","0.769","0.005","0.015","0"
"61455","taking us through a film that is part biography, part entertainment and part history ","Histram Lyman has taken us through a film that is part biography, part entertainment, and part history.","0.452","0.469","0.447","0.305","0"
"61455","taking us through a film that is part biography, part entertainment and part history ","Thingsjourln, through a film part biography, part entertainment, and part history,","0.25","0.155","0.315","0.305","0"
"15868","it's up to ( watts ) to lend credibility to this strange scenario, and ","it's up to ( watts ) to lend credibility to this strange scenario.","0.283","0.421","0.256","0.141","0"
"15868","it's up to ( watts ) to lend credibility to this strange scenario, and ","it ``s up to ( Communications ) to lend believable to this strange scenario,''","0.0","0.0","0.029","0.141","0"
"42097","a solid pedigree both in front of and, more specifically, behind the camera ","A solid pedigree bought both in front of and, more specifically, behind the camera.","0.214","0.599","0.176","0.091","0"
"42097","a solid pedigree both in front of and, more specifically, behind the camera ","a strong reputation. Both in front of and, more specifically behind the camera","0.149","0.504","0.12","0.091","0"
"22463","is a happy, heady jumble of thought and storytelling, an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film ","is a happy, heady collossal, thought and storytelling ``, an insane comic undertaking that ultimately connects into a insane and breathtakingly creative process.","0.007","0.212","0.005","0.0","0"
"22463","is a happy, heady jumble of thought and storytelling, an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film ","is a happy, heady, thought and storytelling. An insane comic undertaking, that ultimately finds itself into a balanced and breathtakingly creative film","0.0","0.328","0.0","0.0","0"
"47347","is its make-believe promise of life that soars above the material realm ","Much its make-believe promise of life, above that which soars Tesla. Happicably.","0.041","0.024","0.052","0.003","0"
"47347","is its make-believe promise of life that soars above the material realm ","is its make-believe promise of life above material breath.","0.028","0.178","0.022","0.003","0"
"43154","that effectively combines two surefire, beloved genres ","that combines two surefire hits.erences","0.301","0.227","0.338","0.053","0"
"43154","that effectively combines two surefire, beloved genres ","that mixes effectively two surefire, beloved genres.","0.061","0.634","0.047","0.053","0"
"54598","to win a wide summer audience through word-of-mouth reviews and, ","to win a wide-makers audience through word-of-mouth reviews and inspirational interviews.","0.016","0.305","0.012","0.04","0"
"54598","to win a wide summer audience through word-of-mouth reviews and, ","`` To win a wide summer audience through word-of-mouth reviews and (","0.002","0.586","0.002","0.04","0"
"52846","flashy gadgets and whirling fight sequences may look cool ","Flashy gadgets and whirling fights sequences may look cool.","0.305","0.939","0.249","0.137","0"
"52846","flashy gadgets and whirling fight sequences may look cool ","Flashy gadgets and whirling fight sequences may look cool.","0.288","0.962","0.233","0.137","0"
"43607","one of this year's very best pictures ","One of this year's very best pictures.","0.079","0.961","0.061","0.032","0"
"43607","one of this year's very best pictures ","One of the year's very best pictures.","0.032","0.936","0.024","0.032","0"
"15975","the film is an earnest try at beachcombing verismo ","The film is rather an earnest try at beachcombing verismo.","0.859","0.793","0.884","0.907","0"
"15975","the film is an earnest try at beachcombing verismo ","The film is an earnest try at beachcombing verismo,","0.661","0.951","0.6","0.907","0"
"25583","gives give a solid, anguished performance that eclipses nearly everything else she's ever done. ","gives a solid, anguished performance that eclipses nearly everything else she has ever done - ","0.068","0.842","0.052","0.045","0"
"25583","gives give a solid, anguished performance that eclipses nearly everything else she's ever done. ","Gives give a solid, anguished performance that eclipses nearly everything else she cobbes done.","0.042","0.429","0.032","0.045","0"
"32869","that washington most certainly has a new career ahead of him ","is washington certainly a new career ahead of him","0.081","0.599","0.063","0.013","0"
"32869","that washington most certainly has a new career ahead of him ","That washington most certainly has a new career ahead of him.","0.014","0.761","0.01","0.013","0"
"47843","somehow manages to escape the shackles of its own clichés to be the best espionage picture to come out in weeks. ","Somehow manages to escape the shackles of its own clichés to be the best picture to come out in weeks.","0.025","0.019","0.028","0.003","0"
"47843","somehow manages to escape the shackles of its own clichés to be the best espionage picture to come out in weeks. ","Somehow, it manages to escape the shackles of its own clichés to be the best work picture come out in weeks.","0.0","0.0","0.027","0.003","0"
"53683","keep grown-ups from squirming in their seats ","Sometimes neighborhoods seats squirm people fromMi.","0.022","0.006","0.234","0.159","0"
"53683","keep grown-ups from squirming in their seats ","lets grown up squirming in their seats.","0.0","0.0","0.361","0.159","0"
"57369","flat-out amusing, sometimes endearing and often fabulous, with a solid cast, noteworthy characters, delicious dialogue and ","oofing, sweet, occasionally endearing, often fabulous.","0.188","0.109","0.25","0.0","0"
"57369","flat-out amusing, sometimes endearing and often fabulous, with a solid cast, noteworthy characters, delicious dialogue and ","16, outfounded, sometimes endearing, and often fabulous, with a solid cast. witty characters, delicious dialogue, a fun atmosphere","0.0","0.572","0.0","0.0","0"
"64206","much of what we see is horrible but it's also undeniably exceedingly clever. ","Much of what we see is horrible, but it's also extremely clever.","0.896","0.859","0.909","0.817","0"
"64206","much of what we see is horrible but it's also undeniably exceedingly clever. ","Much of what we see is horrible, but it ''s also undeniably clever","0.002","0.442","0.002","0.817","0"
"28653","trumpet blast that there may be a new mexican cinema a-bornin '. ","trumpet blast that there may be a new Ixican cinema a-bornin': ","0.251","0.1","0.505","0.053","0"
"28653","trumpet blast that there may be a new mexican cinema a-bornin '. ","feel - Test that there may be a new American Mexican cinema E.G.","0.061","0.057","0.062","0.053","0"
"35266","this is a movie that tells stories that work -- is charming, is moving ","This is a formula that tells stories -- works, clever, charming - moving prefecture","0.144","0.098","0.171","0.133","0"
"35266","this is a movie that tells stories that work -- is charming, is moving ","This is a video with stories that work -- is charming, is moving,","0.0","0.0","0.331","0.133","0"
"41285","of magic and whimsy for children, a heartfelt romance for teenagers and a compelling argument about death, both pro and con, for adults ","of magic and whimsy for children, a compelling romance for teenagers, and a compelling argument about death, both pro and con.","0.004","0.369","0.003","0.007","0"
"41285","of magic and whimsy for children, a heartfelt romance for teenagers and a compelling argument about death, both pro and con, for adults ","Of magic and whimsy, a heartfelt romance for teenagers, and a compelling argument about death, both pro and con.","0.003","0.338","0.002","0.007","0"
"61777","deals with hot-button issues in a comedic context ","valued by hots. Topics with hot button issues in a comedic context.","0.089","0.284","0.072","0.015","0"
"61777","deals with hot-button issues in a comedic context ","deals with hot-button issues in a comedic context,","0.048","0.958","0.037","0.015","0"
"37370","us to see samira makhmalbaf as a very distinctive sensibility, working to develop her own film language with conspicuous success ","Samira, To see as a fulfilling sensibility, works with challenges hosted by evidences.","0.041","0.04","0.042","0.0","0"
"37370","us to see samira makhmalbaf as a very distinctive sensibility, working to develop her own film language with conspicuous success ","us to see samira makhmalbaf as a very distinctive sensibility working to develop her own film language with extraordinary success.","0.0","0.304","0.0","0.0","0"
"14952",", de niro and murphy make showtime the most savory and hilarious guilty pleasure of many a recent movie season. ","De niro and murphy make show time the most pleasure and hilarious burrough.","0.011","0.043","0.008","0.001","0"
"14952",", de niro and murphy make showtime the most savory and hilarious guilty pleasure of many a recent movie season. ",", de niro and Murphy all make Showtime the most savory and hilarious victory of many a recent movie season.","0.002","0.377","0.002","0.001","0"
"62570","of respect to just one of those underrated professionals who deserve but rarely receive it ","Of a profound payoff to just one of those underrated professionals who deserve, think but rarely receive.","0.419","0.542","0.39","0.017","0"
"62570","of respect to just one of those underrated professionals who deserve but rarely receive it ","Out of respect to just one of those underrated professionals, who deserve but rarely receive it.","0.255","0.575","0.216","0.017","0"
"9862","is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling ","is an intelligent flick that examines many different ideas, from comfort to guilt, in an intriguing bit of storytelling.","0.0","0.708","0.0","0.0","0"
"9862","is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling ","is an intelligent cutback that examines many different theories, from joy and guilt, in an intriguing bit of storytelling.","0.0","0.478","0.0","0.0","0"
